,Price,Original_Price,Off(%),Rating,Reviews,Free_shipping,Best_seller,Fold
1768,15.0,15.0,0.0,4.9701,784.0,Yes,No,Flat
1769,2.1,3.0,30.0,4.9574,13988.0,Yes,No,Flat
1770,7.54,10.77,30.0,4.9199,11884.0,No,No,Flat
1771,21.75,29.0,25.0,5.0,144.0,No,No,Flat
1772,15.0,15.0,0.0,5.0,3398.0,Yes,No,Flat
1773,7.16,7.16,0.0,4.9,5528.0,No,No,Flat
1774,9.5,9.5,0.0,5.0,471.0,No,No,Flat
1775,7.0,10.0,30.0,4.9505,4588.0,No,No,Flat
1776,2.5,2.5,0.0,,,No,No,Flat
1777,2.1,3.0,30.0,4.9574,13988.0,Yes,No,Flat
1778,10.0,10.0,0.0,5.0,8.0,Yes,No,Flat
1779,4.0,8.0,50.0,4.8759,5790.0,No,No,Flat
1780,22.0,22.0,0.0,4.6667,164.0,No,No,Flat
1781,2.1,2.1,0.0,4.7018,204.0,No,No,Flat
1782,0.7,1.0,30.0,4.9574,13988.0,Yes,No,Flat
1783,2.1,3.0,30.0,4.9574,13988.0,Yes,No,Flat
1784,2.1,3.0,30.0,4.9574,13988.0,Yes,No,Flat
1785,0.7,0.7,0.0,4.96,42.0,No,No,Flat
1786,10.5,14.0,25.0,4.8614,1032.0,Yes,No,Flat
1787,2.55,3.0,15.0,4.8387,307.0,No,No,Flat
1788,14.45,17.0,15.0,4.9956,3107.0,Yes,No,Flat
1789,1.9,3.8,50.0,4.8251,3310.0,Yes,No,Flat
1790,14.0,14.0,0.0,4.9619,1228.0,Yes,No,Flat
1791,2.5,2.5,0.0,,,No,No,Flat
1792,5.99,5.99,0.0,5.0,466.0,No,No,Flat
1793,4.99,4.99,0.0,5.0,7.0,No,No,Flat
1794,8.7,12.42,30.0,4.9207,2645.0,No,No,Flat
1795,27.92,27.92,0.0,5.0,176.0,Yes,No,Flat
1796,1.44,1.44,0.0,5.0,48.0,No,No,Flat
1797,6.96,9.94,30.0,4.9286,155.0,No,No,Flat
1798,9.99,9.99,0.0,4.985,1887.0,No,Yes,Flat
1799,4.3,8.6,50.0,4.8759,5790.0,No,No,Flat
1800,16.99,16.99,0.0,5.0,7.0,No,No,Flat
1801,2.1,3.0,30.0,4.9574,13988.0,Yes,No,Flat
1802,10.0,10.0,0.0,4.8305,1658.0,No,No,Flat
1803,2.1,3.0,30.0,4.9574,13988.0,Yes,No,Flat
1804,10.0,10.0,0.0,5.0,845.0,Yes,No,Flat
1805,50.0,50.0,0.0,4.9609,1620.0,No,No,Flat
1806,5.98,6.65,10.0,4.9565,667.0,Yes,No,Flat
1807,14.0,14.0,0.0,4.9538,456.0,Yes,No,Flat
1808,5.0,5.0,0.0,,,Yes,No,Flat
1809,20.0,20.0,0.0,4.8824,172.0,Yes,No,Flat
1810,7.7,11.0,30.0,4.803,174.0,No,No,Flat
1811,5.99,9.99,40.0,4.9761,3334.0,No,No,Flat
1812,5.5,5.5,0.0,4.8,1221.0,No,No,Flat
1813,7.0,7.0,0.0,4.9535,780.0,No,No,Flat
1814,5.0,5.0,0.0,5.0,955.0,Yes,No,Flat
1815,2.1,3.0,30.0,4.9574,13988.0,Yes,No,Flat
1816,4.25,4.25,0.0,5.0,498.0,Yes,No,Flat
1817,0.8,1.0,20.0,4.9194,1283.0,Yes,No,Flat
1818,15.0,15.0,0.0,,,No,No,Flat
1819,2.1,3.0,30.0,4.9574,13988.0,Yes,No,Flat
1820,0.7,1.0,30.0,4.9574,13988.0,Yes,No,Flat
1821,1.44,1.44,0.0,5.0,48.0,No,No,Flat
1822,12.0,12.0,0.0,5.0,11.0,Yes,No,Flat
1823,21.54,21.54,0.0,5.0,58.0,Yes,No,Flat
1824,16.0,16.0,0.0,4.9701,784.0,Yes,No,Flat
1825,8.99,8.99,0.0,4.9828,136.0,No,No,Flat
1826,15.99,19.99,20.0,5.0,113.0,No,No,Flat
1827,2.1,3.0,30.0,4.9574,13988.0,Yes,No,Flat
1828,13.8,23.0,40.0,4.9565,942.0,No,No,Flat
1829,8.5,8.5,0.0,4.9811,1670.0,Yes,No,Flat
1830,7.37,14.74,50.0,4.8621,88.0,No,No,Flat
1831,7.99,9.99,20.0,5.0,113.0,No,No,Flat
1832,5.99,9.99,40.0,4.9761,3334.0,No,No,Flat
1833,2.1,3.0,30.0,4.9574,13988.0,Yes,No,Flat
1834,12.99,12.99,0.0,4.9091,633.0,No,No,Flat
1835,10.5,10.5,0.0,4.9612,103.0,No,No,Flat
1836,12.0,12.0,0.0,4.9184,1810.0,Yes,No,Flat
1837,10.95,10.95,0.0,4.8428,623.0,Yes,No,Flat
1838,9.99,9.99,0.0,4.9895,1148.0,No,No,Flat
1839,20.0,20.0,0.0,5.0,3.0,Yes,No,Flat
1840,6.99,6.99,0.0,4.9037,11028.0,No,No,Flat
1841,20.0,20.0,0.0,4.9357,1971.0,Yes,No,Flat
1842,15.0,15.0,0.0,4.9753,1921.0,Yes,No,Flat
1843,30.0,30.0,0.0,4.9753,1921.0,Yes,No,Flat
1844,26.0,26.0,0.0,4.9753,1921.0,Yes,No,Flat
1845,26.0,26.0,0.0,4.9753,1921.0,Yes,No,Flat
1846,26.0,26.0,0.0,4.9753,1921.0,Yes,No,Flat
1847,18.0,18.0,0.0,4.9753,1921.0,Yes,No,Flat
1848,23.0,23.0,0.0,4.9753,1921.0,Yes,No,Flat
1849,10.0,10.0,0.0,4.9823,5814.0,No,No,Flat
1850,7.16,7.16,0.0,4.7647,35.0,No,No,Flat
1851,15.0,15.0,0.0,4.9753,1921.0,Yes,No,Flat
1852,15.0,15.0,0.0,4.9753,1921.0,Yes,No,Flat
1853,23.0,23.0,0.0,4.9753,1921.0,Yes,No,Flat
1854,15.0,15.0,0.0,4.9753,1921.0,Yes,No,Flat
1855,26.0,26.0,0.0,4.9753,1921.0,Yes,No,Flat
1856,0.2,0.2,0.0,4.9842,320.0,Yes,No,Flat
1857,10.0,10.0,0.0,5.0,466.0,No,No,Flat
1858,6.99,6.99,0.0,5.0,7.0,Yes,No,Flat
1859,20.0,20.0,0.0,4.8671,540.0,Yes,No,Flat
1860,19.37,21.53,10.0,4.9431,360.0,No,No,Flat
1861,7.0,7.0,0.0,,,Yes,No,Flat
1862,4.3,8.6,50.0,4.8759,5790.0,No,No,Flat
1863,12.32,14.5,15.0,4.9762,72.0,No,No,Flat
1864,7.6,9.5,20.0,4.9502,2015.0,No,No,Flat
1865,4.0,4.0,0.0,4.9659,1293.0,Yes,No,Flat
1866,7.99,15.99,50.0,4.8621,88.0,No,No,Flat
1867,5.59,7.99,30.0,4.8833,1722.0,No,No,Flat
1868,29.25,39.0,25.0,5.0,144.0,No,No,Flat
1869,20.0,20.0,0.0,4.8824,172.0,Yes,No,Flat
1870,0.77,1.1,30.0,4.979,1144.0,No,No,Flat
1871,18.0,18.0,0.0,4.9753,1921.0,Yes,No,Flat
1872,10.2,17.0,40.0,4.9582,7211.0,No,No,Flat
1873,23.0,23.0,0.0,4.9753,1921.0,Yes,No,Flat
1874,7.0,10.0,30.0,4.9505,4588.0,No,No,Flat
1875,7.7,11.0,30.0,4.803,174.0,No,No,Flat
1876,15.0,15.0,0.0,4.9753,1921.0,Yes,No,Flat
1877,25.0,25.0,0.0,4.9082,3601.0,No,No,Flat
1878,15.0,15.0,0.0,4.9753,1921.0,Yes,No,Flat
1879,0.7,1.0,30.0,4.9574,13988.0,Yes,No,Flat
1880,0.7,1.0,30.0,4.9574,13988.0,Yes,No,Flat
1881,16.0,16.0,0.0,4.9701,784.0,Yes,No,Flat
1882,26.0,26.0,0.0,4.8571,435.0,Yes,No,Flat
1883,15.0,15.0,0.0,4.9753,1921.0,Yes,No,Flat
1884,11.0,11.0,0.0,4.9521,3019.0,Yes,No,Flat
1885,6.75,6.75,0.0,4.7647,675.0,Yes,No,Flat
1886,4.13,4.13,0.0,4.5,66.0,Yes,No,Flat
1887,18.0,18.0,0.0,4.8864,44.0,No,No,Flat
1888,0.7,1.0,30.0,4.9574,13988.0,Yes,No,Flat
1889,12.95,12.95,0.0,4.92,4428.0,Yes,No,Flat
1890,2.7,2.7,0.0,4.8182,331.0,No,No,Flat
1891,9.95,9.95,0.0,4.7667,1767.0,Yes,No,Flat
1892,10.2,12.0,15.0,4.9635,167.0,No,No,Flat
1893,3.9,5.2,25.0,4.7647,17.0,No,No,Flat
1894,8.16,9.6,15.0,4.9635,167.0,No,No,Flat
1895,14.95,14.95,0.0,4.8428,623.0,Yes,No,Flat
1896,10.0,10.0,0.0,4.9926,1050.0,No,No,Flat
1897,34.97,34.97,0.0,4.7667,1767.0,Yes,No,Flat
1898,1.0,1.0,0.0,4.9683,2141.0,No,No,Flat
1899,15.0,15.0,0.0,4.9864,1797.0,Yes,No,Flat
1900,11.97,11.97,0.0,5.0,218.0,Yes,No,Flat
1901,9.99,9.99,0.0,4.985,1887.0,No,No,Flat
1902,9.95,9.95,0.0,4.9945,501.0,No,Yes,Flat
1903,8.97,8.97,0.0,4.9444,145.0,No,No,Flat
1904,5.0,5.0,0.0,4.9851,1024.0,Yes,No,Flat
1905,6.0,6.0,0.0,4.9714,139.0,Yes,No,Flat
1906,5.0,5.0,0.0,4.8872,10195.0,Yes,No,Flat
1907,12.0,12.0,0.0,,,Yes,No,Flat
1908,7.6,9.5,20.0,4.9502,2015.0,No,No,Flat
1909,21.5,21.5,0.0,4.8893,4752.0,Yes,No,Flat
1910,5.33,8.89,40.0,4.9421,3122.0,No,No,Flat
1911,10.0,10.0,0.0,4.9688,1525.0,Yes,No,Flat
1912,1.15,1.15,0.0,4.4162,357.0,No,No,Flat
1913,7.96,9.95,20.0,4.9579,196.0,No,No,Flat
1914,12.0,12.0,0.0,4.859,78.0,Yes,No,Flat
1915,15.0,15.0,0.0,4.859,78.0,Yes,No,Flat
1916,4.3,8.6,50.0,4.8759,5790.0,No,No,Flat
1917,16.0,16.0,0.0,4.9555,1321.0,Yes,No,Flat
1918,20.0,20.0,0.0,5.0,3.0,Yes,No,Flat
1919,10.0,10.0,0.0,5.0,466.0,No,No,Flat
1920,9.65,9.65,0.0,4.9512,1307.0,No,No,Flat
1921,3.0,3.0,0.0,5.0,948.0,No,No,Flat
1922,8.99,8.99,0.0,4.9691,5607.0,No,No,Flat
1923,9.5,9.5,0.0,5.0,10.0,No,No,Flat
1924,9.99,9.99,0.0,4.985,1887.0,No,No,Flat
1925,7.26,10.37,30.0,4.9717,2089.0,No,No,Flat
1926,17.0,17.0,0.0,5.0,428.0,No,No,Flat
1927,14.44,16.99,15.0,4.8951,3752.0,No,No,Flat
1928,6.96,9.94,30.0,4.9286,155.0,No,No,Flat
1929,7.96,9.95,20.0,4.9579,196.0,No,No,Flat
1930,0.7,1.0,30.0,4.9574,13988.0,Yes,No,Flat
1931,100.0,100.0,0.0,5.0,269.0,Yes,No,Flat
1932,1.29,1.44,10.0,4.9553,529.0,No,No,Flat
1933,15.0,15.0,0.0,4.9621,11955.0,Yes,No,Flat
1934,9.99,9.99,0.0,4.9185,4031.0,No,No,Flat
1935,21.12,24.84,15.0,4.9583,403.0,Yes,No,Flat
1936,6.74,8.99,25.0,5.0,37.0,No,No,Flat
1937,22.0,22.0,0.0,4.9609,1620.0,No,No,Flat
1938,24.89,24.89,0.0,5.0,32.0,Yes,No,Flat
1939,8.7,12.42,30.0,4.9207,2645.0,No,No,Flat
1940,22.34,22.34,0.0,5.0,96.0,No,Yes,Flat
1941,22.0,22.0,0.0,4.9609,1620.0,No,No,Flat
1942,9.95,9.95,0.0,4.9579,196.0,No,No,Flat
1943,5.0,5.0,0.0,4.9333,920.0,Yes,No,Flat
1944,7.54,7.54,0.0,4.9877,370.0,No,No,Flat
1945,10.0,10.0,0.0,5.0,466.0,No,No,Flat
1946,16.0,16.0,0.0,4.7544,118.0,No,No,Flat
1947,17.39,17.39,0.0,4.9459,98.0,No,No,Flat
1948,0.7,1.0,30.0,4.9574,13988.0,Yes,No,Flat
1949,9.74,12.99,25.0,5.0,37.0,No,No,Flat
1950,1.8,3.0,40.0,4.8824,17.0,Yes,No,Flat
1951,1.55,1.72,10.0,4.9028,2843.0,No,No,Flat
1952,55.9,55.9,0.0,5.0,21.0,No,No,Flat
1953,8.6,8.6,0.0,4.9,5528.0,No,No,Flat
1954,9.95,9.95,0.0,4.9579,196.0,No,No,Flat
1955,14.99,14.99,0.0,4.9351,1520.0,Yes,No,Flat
1956,5.58,9.3,40.0,4.925,6575.0,No,No,Flat
1957,9.0,9.0,0.0,4.9804,4171.0,Yes,No,Flat
1958,7.2,9.0,20.0,4.9796,3891.0,No,No,Flat
1959,20.0,20.0,0.0,4.9286,1101.0,Yes,No,Flat
1960,7.6,7.6,0.0,4.9892,351.0,Yes,Yes,Flat
1961,9.6,12.0,20.0,4.9322,60.0,No,No,Flat
1962,6.99,9.99,30.0,4.9219,1342.0,No,No,Flat
1963,43.06,43.06,0.0,4.8897,463.0,No,No,Flat
1964,5.99,5.99,0.0,4.8621,43.0,No,No,Flat
1965,1.44,1.44,0.0,4.8633,2414.0,No,No,Flat
1966,7.16,7.16,0.0,4.9,5528.0,No,No,Flat
1967,6.0,6.0,0.0,4.7667,1767.0,Yes,No,Flat
1968,30.0,30.0,0.0,4.7667,1767.0,Yes,No,Flat
1969,6.74,8.99,25.0,5.0,37.0,No,No,Flat
1970,5.24,6.99,25.0,5.0,37.0,No,No,Flat
1971,0.18,0.2,10.0,4.9701,2100.0,No,No,Flat
1972,8.0,8.0,0.0,5.0,50.0,No,No,Flat
1973,13.49,14.99,10.0,4.9924,1545.0,No,No,Flat
1974,10.35,13.8,25.0,4.7647,17.0,No,No,Flat
1975,3.7,3.7,0.0,5.0,97.0,Yes,No,Flat
1976,5.34,10.68,50.0,4.9496,148.0,No,No,Flat
1977,12.0,12.0,0.0,4.9292,3044.0,No,No,Flat
1978,8.61,8.61,0.0,5.0,3.0,No,No,Flat
1979,4.0,4.0,0.0,4.9659,1293.0,Yes,No,Flat
1980,127.0,127.0,0.0,4.8085,135.0,No,No,Flat
1981,5.95,7.0,15.0,4.9123,84.0,No,No,Flat
1982,6.74,8.99,25.0,5.0,37.0,No,No,Flat
1983,4.95,4.95,0.0,4.7667,1767.0,Yes,No,Flat
1984,4.0,4.0,0.0,4.7568,167.0,No,No,Flat
1985,5.24,6.99,25.0,5.0,37.0,No,No,Flat
1986,9.9,9.9,0.0,4.2319,1612.0,Yes,No,Flat
1987,5.97,11.95,50.0,4.9143,116.0,No,No,Flat
1988,14.24,18.99,25.0,5.0,37.0,No,No,Flat
1989,7.95,7.95,0.0,5.0,352.0,No,No,Flat
1990,103.71,103.71,0.0,4.9441,514.0,Yes,No,Flat
1991,6.0,6.0,0.0,5.0,155.0,Yes,No,Flat
